Categories  , Core Values    , Definition of the value
Misc        , Reward         , Compensation for worth acts or retribution for wrongdoing
Feelings    , Romance        , A relationship between two lovers
Misc        , Safety         , Being certain that adverse effects will not be caused
Spirituality, Saintly        , "Marked by utter kindness, virtue or holiness"
Feelings    , Satisfaction   , The state of being gratified
Order       , Security       , The state of being free from danger or injury
Strength    , Self-Confident , Belief in your own abilities or judgement
Strength    , Selfless       , Acting with less concern for yourself than for the success of the joint activity
Strength    , Self-Love      , An exceptional interested and admiration for yourself
Feelings    , Serenity       , "You value your peace of mind so much, you prioritize words and actions that help you preserve it."
Presence    , Serious        , "In a solemn manner, an earnest and sincere feeling"
Presence    , Sexy           , "Pretty, beautiful, attractive"
Presence    , Simplicity     , The quality of being uncomplicated
Integrity   , Sincerity      , The quality of being open and truthful
Achievement , Skillfulness   , "Having or showing knowledge, ability or aptitude"
Presence    , Sophisticated  , Having worldly knowledge and refinement
Spirituality, Spirit         , You believe not only in the existence of spirits but also their power and your ability to connect with others through your own.
Order       , Stability      , "You need to feel that each step will meet solid, level ground; you hate uncertainty and imbalance and look for ways to correct both."
Order       , Straightforward, Pointed directly ahead
Misc        , Striving       , An effortful attempt to attain a goal
Order       , Structure      , "The best stories (and buildings, etc.) have a solid, reliable structure, and you appreciate this when you see it."
Misc        , Student        , A learner who is enrolled in an education institution
Achievement , Success        , Being marked by a favorable outcome
Spirituality, Support        , "You want to feel supported by others, and to be the kind of person others can count on for support when they need it."
Misc        , Survivor       , One who lives through affliction
Misc        , Synergy        , The working together or two things to produce an effort
Achievement , Talent         , Natural talents or qualities
Misc        , Teacher        , A person whose occupation is instructing
Spirituality, Teamwork       , One that supports others close to them and helps them win
Feelings    , Thankful       , To show appreciation for and to return kindness
Intelligence, Thoughtful     , Kind and considerate regard for others
Order       , Tidy           , Marked by order and cleanliness in appearance or habits
Order       , Timeliness     , You value other people’s time and expect them to return the favor by being punctual and finishing things in a timely manner.
Misc        , Togetherness   , Affectionate closeness
Strength    , Toughness      , Enduring strength and energy
Achievement , Trailblazer    , An innovator or pioneer in a field
Integrity   , Trustful       , "Inclined to believe or confide readily, full of trust"
Integrity   , Truth          , A factual statement
Intelligence, Understanding  , The condition of someone who knows and comprehends
Creativity  , Uniqueness     , The quality of being one of a kind
Spirituality, Unity          , Being or joined into a single entity
Misc        , Unrelenting    , Not to be placated or appeased or moved by entreaty
Misc        , Unwavering     , Marked by firm determination or resolution
Feelings    , Uplifting      , "The rise of something, someone ore oneself"
Achievement , Victory        , A successful ending of a struggle or contest
Misc        , Vigilant       , Carefully observant or attentive
Strength    , Vigor          , Characterized by forceful and energetic action or activity
Intelligence, Vision         , "You see things most others miss, and you pursue things most others consider impossible."
Health      , Vitality       , The property of being able to survive and grow
Misc        , Vocal          , Musical or simply voicing ones opinion and thoughts aloud
Misc        , Vulnerability  , The state of being exposed
Feelings    , Warmhearted    , Marked by warmth or feeling like kindness and sympathy and generosity
Achievement , Wealth         , Property that has economic value
Feelings    , Welcoming      , Very cordial
Presence    , Well-Behaved   , Someone who behaves in a manner that the speaker believes
Misc        , Willingness    , Cheerful compliance
Achievement , Winning        , Succeeding with great difficulty
Intelligence, Wisdom         , Accumulated knowledge or erudition or enlightenment
Creativity  , Wonder         , Extraordinarily good or great
Spirituality, Worship        , The activity of cherishing as divine
Misc        , YES to life!   , "Being open and willing to say YES to your goals, dreams and visions"
Misc        , Youthful       , "Suggestive of youth, vigorous and fresh"
